artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,duration_mins,decade,popularity_category
Panjabi MC,Mundian to Bach Ke,244666,False,2003,61,0.778,0.879,8,-4.951,0,0.0371,0.399,0.792,0.15,0.942,98.077,World/Traditional,4.077766666666666,2000,Medium
Panjabi MC,Mundian to Bach Ke,244666,False,2003,61,0.778,0.879,8,-4.951,0,0.0371,0.399,0.792,0.15,0.942,98.077,hip hop,4.077766666666666,2000,Medium
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,False,2004,59,0.734,0.668,0,-3.935,0,0.0349,0.0526,0.0,0.0925,0.651,99.971,pop,3.9806666666666666,2000,Medium
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,False,2004,59,0.734,0.668,0,-3.935,0,0.0349,0.0526,0.0,0.0925,0.651,99.971,Dance/Electronic,3.9806666666666666,2000,Medium
JAY-Z,03' Bonnie & Clyde,205560,True,2002,71,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,hip hop,3.426,2000,Medium
50 Cent,P.I.M.P.,249480,True,2003,76,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,hip hop,4.158,2000,Medium
50 Cent,P.I.M.P.,249480,True,2003,76,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,pop,4.158,2000,Medium
Jamelia,Superstar,215480,False,2003,69,0.801,0.645,1,-6.93,1,0.0356,0.0457,0.0,0.0357,0.824,110.01,pop,3.5913333333333335,2000,Medium
Linkin Park,Faint,162600,False,2003,72,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,rock,2.71,2000,Medium
Linkin Park,Faint,162600,False,2003,72,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,metal,2.71,2000,Medium
DMX,X Gon' Give It To Ya,217586,True,2007,70,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,hip hop,3.6264333333333334,2000,Medium
DMX,X Gon' Give It To Ya,217586,True,2007,70,0.761,0.899,10,-3.09,0,0.183,0.0135,0.0,0.0719,0.673,95.027,pop,3.6264333333333334,2000,Medium
Evanescence,Bring Me To Life,235893,False,2003,79,0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,metal,3.93155,2000,Medium
Sugababes,Hole In The Head,218173,False,2003,57,0.785,0.933,6,-4.629,0,0.0309,0.0303,0.0,0.137,0.962,125.011,pop,3.636216666666667,2000,Medium
Sugababes,Hole In The Head,218173,False,2003,57,0.785,0.933,6,-4.629,0,0.0309,0.0303,0.0,0.137,0.962,125.011,R&B,3.636216666666667,2000,Medium
Craig David,Rise & Fall (feat. Sting),287226,False,2002,59,0.405,0.589,6,-7.51,0,0.0586,0.252,0.0,0.661,0.808,83.373,hip hop,4.7871,2000,Medium
Craig David,Rise & Fall (feat. Sting),287226,False,2002,59,0.405,0.589,6,-7.51,0,0.0586,0.252,0.0,0.661,0.808,83.373,pop,4.7871,2000,Medium
